feature_method,clustering_algorithm,adjusted_rand_index,normalized_mutual_info,purity,silhouette_score,calinski_harabasz,davies_bouldin,n_clusters_found,n_samples_used,noise_ratio
sbert,kmeans,0.7674118359185057,0.8992298891254911,0.8393501805054152,0.12468264997005463,37.488914489746094,2.46985152613345,6,554,0.0
word2vec,agglomerative,0.6776907725176583,0.7979592917888109,0.8086642599277978,0.23116640746593475,82.38368225097656,1.6572042760499797,6,554,0.0
word2vec,kmeans,0.6586527750541231,0.7906187050397439,0.8032490974729242,0.22613279521465302,81.13780975341797,1.8520043594333746,6,554,0.0
sbert,spectral,0.5786584597847957,0.7575514961274781,0.6931407942238267,0.10225880891084671,34.25006866455078,2.3812520636773016,6,554,0.0
sbert,agglomerative,0.5159174168563334,0.6207840561534806,0.648014440433213,0.08956733345985413,30.653812408447266,2.917440601161154,6,554,0.0
doc2vec,hdbscan,0.4682658097096293,0.7368768194172715,0.9646017699115044,0.26843924993696494,10.217458982884365,1.31509992241761,13,113,0.796028880866426
tfidf_entities,agglomerative,0.464651770467909,0.7021198376811668,0.6083032490974729,0.01925605505397205,12.39006410159521,3.945109628778265,6,554,0.0
word2vec,hdbscan,0.4633091575355158,0.7203365541737595,0.9220532319391636,0.34638646245002747,53.65707778930664,1.028380638102964,22,526,0.05054151624548736
entity_features,kmeans,0.4519752953887226,0.5951102948652043,0.7003610108303249,0.3839757833093699,204.2150080044395,1.0841953519516516,6,554,0.0
entity_features,agglomerative,0.43951556814930287,0.5320016928854706,0.628158844765343,0.3657998167963802,176.14007069865502,1.0669027485559328,6,554,0.0
tfidf_pca,hdbscan,0.42433932678927044,0.6708832213234301,0.9347826086956522,0.2592776443922252,9.349602047907991,1.34990028223368,10,92,0.8339350180505415
sbert,hdbscan,0.404996710723235,0.6936299304094927,0.9409448818897638,0.20794694125652313,15.032205581665039,1.6300637185860727,21,254,0.5415162454873647
bow,hdbscan,0.37958821185612107,0.735040699681216,1.0,0.29478269444049704,21.56609711215673,1.3079568196691522,20,319,0.42418772563176893
tfidf,hdbscan,0.3792749088267758,0.7340222080989641,1.0,0.22446622757114595,12.267174852458377,1.7695406996791139,21,291,0.4747292418772563
tfidf_entities,hdbscan,0.3792318068148756,0.7337241882979035,1.0,0.2326158512334958,12.387572563154963,1.7271485154886235,21,282,0.49097472924187724
entity_features,spectral,0.3036454496923779,0.4762540376824854,0.5433212996389891,0.25498551022177274,103.80655466952669,1.232385382133421,6,554,0.0
lda,kmeans,0.28481001539965856,0.46316014549070544,0.48375451263537905,0.5072605462895707,138.17318122720766,1.047665497707513,6,554,0.0
lda,agglomerative,0.27551969341439203,0.46536087364422635,0.4855595667870036,0.5527348878982068,144.55540023992623,1.1858712006224537,6,554,0.0
entity_features,hdbscan,0.2597800435813796,0.5617270994333821,0.7690582959641256,0.35106536056723386,73.91163041618552,0.789417961180599,34,446,0.19494584837545126
doc2vec,spectral,0.21824189390242668,0.3078668623391428,0.4620938628158845,-0.006621638490845752,5.027616831403555,6.143270121854054,6,554,0.0
word2vec,spectral,0.21582869095809848,0.3998456262923201,0.48736462093862815,0.021061573177576065,27.978715896606445,1.972631897405497,6,554,0.0
tfidf_pca,spectral,0.20697316711319483,0.30788067587638407,0.41335740072202165,-0.00617745762740425,4.925502737520696,5.870618868390422,6,554,0.0
lda,hdbscan,0.19838391026324953,0.5752013345274368,0.8915929203539823,0.7484884151869883,1659.7261731967055,0.3811366970714936,44,452,0.18411552346570398
doc2vec,kmeans,0.16931319023014285,0.37606513034863887,0.4368231046931408,-0.023045000789568216,5.974978426250813,4.919791766388918,6,554,0.0
tfidf,agglomerative,0.15633923283831921,0.4829759339190245,0.49097472924187724,0.017559954393853647,12.19206059066682,3.1475828540402264,6,554,0.0
lda,spectral,0.1331759969090875,0.2628520412974425,0.41696750902527074,-0.13366328609385358,35.43830266348789,1.8765655057404473,6,554,0.0
bow,agglomerative,0.12715522142005456,0.44674032394967444,0.44584837545126355,0.04492722565871651,15.715319489141072,2.426318257460839,6,554,0.0
doc2vec,agglomerative,0.10270788825740364,0.28085014654263274,0.3898916967509025,-0.03576233799906381,5.451756216713582,4.863949585191528,6,554,0.0
tfidf_entities,spectral,0.08260483925703443,0.337064094200113,0.4187725631768953,0.03569290143455171,10.415909327527029,3.1201600827755662,6,554,0.0
tfidf,spectral,0.08260483925703443,0.337064094200113,0.4187725631768953,0.03570012503823481,10.386532831031609,3.127531940638662,6,554,0.0
bow,kmeans,0.07634260103954063,0.32611229237947553,0.43862815884476536,0.04056704213721366,14.703467304006145,3.0013669182040648,6,554,0.0
bow,spectral,0.04131494876483986,0.27847864157379126,0.3574007220216607,0.022531747593374715,12.847608179691527,2.0809803430264107,6,554,0.0
tfidf_entities,kmeans,0.03770709300355183,0.28032721340053846,0.3700361010830325,0.008361131914457443,10.697001391450923,2.562420818831677,6,554,0.0
tfidf,kmeans,0.03470606095199038,0.29870858508501186,0.3971119133574007,0.009250499702308734,10.525384090565433,2.8559860364817915,6,554,0.0
tfidf_pca,kmeans,0.02886597059173727,0.15224250641262788,0.3212996389891697,-0.03710960837540463,5.288885126721202,3.9563969853663905,6,554,0.0
tfidf_pca,agglomerative,0.00857638998129861,0.15658400343299783,0.27617328519855594,-0.04244838736111761,5.213563679430455,2.55872794316559,6,554,0.0
