feature_method,clustering_algorithm,n_clusters_found,n_samples
tfidf,kmeans,6,554
tfidf,agglomerative,6,554
tfidf,spectral,6,554
tfidf,hdbscan,21,554
bow,kmeans,6,554
bow,agglomerative,6,554
bow,spectral,6,554
bow,hdbscan,20,554
lda,kmeans,6,554
lda,agglomerative,6,554
lda,spectral,6,554
lda,hdbscan,44,554
sbert,kmeans,6,554
sbert,agglomerative,6,554
sbert,spectral,6,554
sbert,hdbscan,21,554
word2vec,kmeans,6,554
word2vec,agglomerative,6,554
word2vec,spectral,6,554
word2vec,hdbscan,22,554
doc2vec,kmeans,6,554
doc2vec,agglomerative,6,554
doc2vec,spectral,6,554
doc2vec,hdbscan,13,554
entity_features,kmeans,6,554
entity_features,agglomerative,6,554
entity_features,spectral,6,554
entity_features,hdbscan,34,554
tfidf_entities,kmeans,6,554
tfidf_entities,agglomerative,6,554
tfidf_entities,spectral,6,554
tfidf_entities,hdbscan,21,554
tfidf_pca,kmeans,6,554
tfidf_pca,agglomerative,6,554
tfidf_pca,spectral,6,554
tfidf_pca,hdbscan,10,554
